table,column,data_type,nullable,description
legacy_entity_001,id_001,VARCHAR(20),NO,Primary key
legacy_entity_001,name,VARCHAR(200),NO,Display name
legacy_entity_001,code,VARCHAR(50),YES,Business code
legacy_entity_001,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_001,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_001,quantity,INTEGER,YES,Numeric quantity
legacy_entity_001,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_001,start_date,DATE,YES,Start date
legacy_entity_001,end_date,DATE,YES,End date
legacy_entity_001,created_by,VARCHAR(50),YES,Audit
legacy_entity_001,created_ts,TIMESTAMP,NO,Audit
legacy_entity_001,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_002,id_002,VARCHAR(20),NO,Primary key
legacy_entity_002,name,VARCHAR(200),NO,Display name
legacy_entity_002,code,VARCHAR(50),YES,Business code
legacy_entity_002,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_002,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_002,quantity,INTEGER,YES,Numeric quantity
legacy_entity_002,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_002,start_date,DATE,YES,Start date
legacy_entity_002,end_date,DATE,YES,End date
legacy_entity_002,created_by,VARCHAR(50),YES,Audit
legacy_entity_002,created_ts,TIMESTAMP,NO,Audit
legacy_entity_002,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_003,id_003,VARCHAR(20),NO,Primary key
legacy_entity_003,name,VARCHAR(200),NO,Display name
legacy_entity_003,code,VARCHAR(50),YES,Business code
legacy_entity_003,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_003,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_003,quantity,INTEGER,YES,Numeric quantity
legacy_entity_003,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_003,start_date,DATE,YES,Start date
legacy_entity_003,end_date,DATE,YES,End date
legacy_entity_003,created_by,VARCHAR(50),YES,Audit
legacy_entity_003,created_ts,TIMESTAMP,NO,Audit
legacy_entity_003,updated_ts,TIMESTAMP,YES,Audit
legacy_entity_004,id_004,VARCHAR(20),NO,Primary key
legacy_entity_004,name,VARCHAR(200),NO,Display name
legacy_entity_004,code,VARCHAR(50),YES,Business code
legacy_entity_004,status,VARCHAR(20),NO,ACTIVE,INACTIVE,PENDING
legacy_entity_004,amount,DECIMAL(14,2),YES,Monetary amount
legacy_entity_004,quantity,INTEGER,YES,Numeric quantity
legacy_entity_004,ref_id,VARCHAR(20),YES,Reference to parent
legacy_entity_004,start_date,DATE,YES,Start date
