table,column,data_type,nullable,description
customer_profiles,id,UUID,NO,PK
customer_profiles,full_name,VARCHAR(255),NO,
customer_profiles,email,VARCHAR(255),NO,
customer_profiles,phone,VARCHAR(30),YES,
customer_profiles,birth_date,DATE,YES,
customer_profiles,gender,VARCHAR(10),YES,
customer_profiles,signup_at,TIMESTAMPTZ,NO,
customer_profiles,status,VARCHAR(20),NO,
customer_profiles,credit_limit_cents,BIGINT,YES,
customer_profiles,locale,VARCHAR(10),YES,
customer_profiles,tier,VARCHAR(20),YES,
customer_profiles,created_at,TIMESTAMPTZ,NO,
customer_profiles,updated_at,TIMESTAMPTZ,YES,
addresses,id,UUID,NO,PK
addresses,customer_id,UUID,NO,FK
addresses,type,VARCHAR(20),NO,
addresses,street_line1,VARCHAR(255),NO,
addresses,street_line2,VARCHAR(255),YES,
addresses,city,VARCHAR(100),NO,
addresses,region_code,VARCHAR(10),YES,
addresses,postal_code,VARCHAR(20),NO,
addresses,country_iso2,CHAR(2),NO,
addresses,is_default,BOOLEAN,NO,
addresses,created_at,TIMESTAMPTZ,NO,
orders,id,UUID,NO,PK
orders,customer_id,UUID,NO,FK
orders,order_date,DATE,NO,
orders,status,VARCHAR(20),NO,
orders,total_amount_cents,BIGINT,NO,
orders,currency,CHAR(3),NO,
orders,shipping_address_id,UUID,YES,FK
orders,notes,TEXT,YES,
orders,created_at,TIMESTAMPTZ,NO,
order_lines,id,UUID,NO,PK
order_lines,order_id,UUID,NO,FK
order_lines,product_id,UUID,NO,FK
order_lines,quantity,INTEGER,NO,
order_lines,unit_price_cents,BIGINT,NO,
order_lines,discount_pct,DECIMAL(5,2),YES,
order_lines,line_total_cents,BIGINT,NO,
order_lines,created_at,TIMESTAMPTZ,NO,
product_catalog,id,UUID,NO,PK
product_catalog,sku,VARCHAR(50),NO,
product_catalog,name,VARCHAR(255),NO,
product_catalog,category_id,UUID,NO,FK
product_catalog,price_cents,BIGINT,NO,
product_catalog,cost_cents,BIGINT,YES,
product_catalog,weight_grams,INTEGER,YES,
product_catalog,is_active,BOOLEAN,NO,
product_catalog,created_at,TIMESTAMPTZ,NO,
payments,id,UUID,NO,PK
payments,order_id,UUID,NO,FK
payments,method,VARCHAR(30),NO,
payments,amount_cents,BIGINT,NO,
payments,currency,CHAR(3),NO,
payments,paid_at,TIMESTAMPTZ,NO,
payments,reference,VARCHAR(100),YES,
payments,status,VARCHAR(20),NO,
payments,created_at,TIMESTAMPTZ,NO,
transactions,id,UUID,NO,PK
transactions,customer_id,UUID,NO,FK
transactions,type,VARCHAR(20),NO,
transactions,occurred_at,TIMESTAMPTZ,NO,
transactions,amount_cents,BIGINT,NO,
transactions,currency,CHAR(3),NO,
transactions,order_id,UUID,YES,FK
transactions,payment_id,UUID,YES,FK
transactions,description,TEXT,YES,
transactions,created_at,TIMESTAMPTZ,NO,
transaction_lines,id,UUID,NO,PK
transaction_lines,transaction_id,UUID,NO,FK
transaction_lines,product_id,UUID,NO,FK
transaction_lines,quantity,INTEGER,NO,
transaction_lines,unit_amount_cents,BIGINT,NO,
transaction_lines,line_amount_cents,BIGINT,NO,
transaction_lines,created_at,TIMESTAMPTZ,NO,
target_entity_001,id,UUID,NO,Primary key
target_entity_001,name,VARCHAR(255),NO,Display name
target_entity_001,external_id,VARCHAR(100),YES,External system id
target_entity_001,status,VARCHAR(20),NO,Entity status
target_entity_001,amount_cents,BIGINT,YES,Amount in cents
target_entity_001,quantity,INTEGER,YES,Quantity
target_entity_001,parent_id,UUID,YES,Parent reference
target_entity_001,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_001,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_001,metadata,JSONB,YES,Additional metadata
target_entity_001,created_at,TIMESTAMPTZ,NO,Audit
target_entity_001,updated_at,TIMESTAMPTZ,YES,Audit
target_entity_002,id,UUID,NO,Primary key
target_entity_002,name,VARCHAR(255),NO,Display name
target_entity_002,external_id,VARCHAR(100),YES,External system id
target_entity_002,status,VARCHAR(20),NO,Entity status
target_entity_002,amount_cents,BIGINT,YES,Amount in cents
target_entity_002,quantity,INTEGER,YES,Quantity
target_entity_002,parent_id,UUID,YES,Parent reference
target_entity_002,started_at,TIMESTAMPTZ,YES,Start timestamp
target_entity_002,ended_at,TIMESTAMPTZ,YES,End timestamp
target_entity_002,metadata,JSONB,YES,Additional metadata
target_entity_002,created_at,TIMESTAMPTZ,NO,Audit
target_entity_002,updated_at,TIMESTAMPTZ,YES,Audit
